Committee	Output	Tags1	Tags2	Tags3	Tags4	Tags5	Tags6	Tags7	Tags8	Tags9	Tags10	Tags11	Tags12	Tags13	Tags14	Tags15	Tags16	Tags17	Tags18	Tags19	Tags20	Tags21	Tags22	Tags23	Tags24	Tags25	Tags26	Tags27	Tags28	Tags29	Tags30	Tags31	Tags32	Tags33	Tags34	Tags35	Tags36	Tags37	Tags38	Tags39	Tags40	Tags41	Tags42	GDFramework	OutputNumber
CC	Regulations that Restrict Competition in Light of Digitalisation	Competition	Platforms	Privacy	Data	Consumer protection	Business models																																					Market openness	1
CC	Algorithms and collusion - Competition policy in the digital age	Competition	Artificial intelligence	Innovation	Data	Consumer protection																																						Market openness	2
CCP	Consumer Product Safety in the Internet of Things	Consumer protection	Internet of Things	Digital security	Artificial intelligence	Blockchain	Privacy																																					Trust	3
CCP	Consumer Protection Enforcement in a Global Digital Marketplace	Consumer protection	Data	Privacy																																								Trust	4
CCP	Improving Online Disclosures with Behavioural Insights	Consumer protection																																										Trust	5
CCP	Online Behavioural AdvertisingÂ 	Consumer protection	Privacy																																									Trust	6
CCP	Consumers Policy in the Smart Home	Consumer protection	Internet of Things	Privacy	Digital security	Energy																																						Trust	7
CCP	Trust in Peer Platform Markets: Consumer Survey Findings	Platforms	Privacy	Consumer protection																																								Trust	8
CDEP	The next generation of wireless networks	Communication infrastructures and services	Investment	Competition																																								Access	9
CDEP	Net neutrality: The implications of differential pricing for competition and investment	Communication infrastructures and services	Investment	Competition																																								Access	10
CDEP	Privacy and data protection strategies	Privacy	Data																																									Trust	11
CDEP	Mainstreaming digital security and privacy risk management	Digital security	Privacy	SMEs																																								Trust	12
CDEP	Synthesis Report of the Going Digital Project	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Market openness	13
CDEP	Synthesis Report of the Going Digital Project	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work			13
CDEP	Synthesis Report of the Going Digital Project	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Innovation	13
CDEP	Synthesis Report of the Going Digital Project	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Trust	13
CDEP	Synthesis Report of the Going Digital Project	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Use	13
CDEP	Synthesis Report of the Going Digital Project	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Access	13
CDEP	Synthesis Report of the Going Digital Project	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Society	13
CDEP	IoT Measurement and Applications	Internet of Things	Measurement																																									Trust	14
CDEP	IoT Measurement and Applications	Internet of Things	Measurement																																									Access	14
CDEP	Vectors of digital transformation	Intangibles	Business models	Platforms	Data	Artificial intelligence	Automation	Blockchain	Cloud																																			Market openness	15
CDEP	Vectors of digital transformation	Intangibles	Business models	Platforms	Data	Artificial intelligence	Automation	Blockchain	Cloud																																				15
CDEP	Vectors of digital transformation	Intangibles	Business models	Platforms	Data	Artificial intelligence	Automation	Blockchain	Cloud																																			Innovation	15
CDEP	Vectors of digital transformation	Intangibles	Business models	Platforms	Data	Artificial intelligence	Automation	Blockchain	Cloud																																			Trust	15
CDEP	Vectors of digital transformation	Intangibles	Business models	Platforms	Data	Artificial intelligence	Automation	Blockchain	Cloud																																			Use	15
CDEP	Vectors of digital transformation	Intangibles	Business models	Platforms	Data	Artificial intelligence	Automation	Blockchain	Cloud																																			Access	15
CDEP	Vectors of digital transformation	Intangibles	Business models	Platforms	Data	Artificial intelligence	Automation	Blockchain	Cloud																																			Society	15
CDEP	A dynamic e-commerce landscape: developments and insights	Business models	Platforms	SMEs	Trade	Artificial intelligence	Entrepreneurship	Consumer protection	Automation	Blockchain	Cloud																																	Use	16
CDEP	A dynamic e-commerce landscape: developments and insights	Business models	Platforms	SMEs	Trade	Artificial intelligence	Entrepreneurship	Consumer protection	Automation	Blockchain	Cloud																																	Innovation	16
CDEP	AI: Intelligent Machines, Smart Policies	Artificial intelligence	Innovation	Privacy	Data	Consumer protection																																						Trust	17
CDEP	AI: Intelligent Machines, Smart Policies	Artificial intelligence	Innovation	Privacy	Data	Consumer protection																																						Innovation	17
CDEP	Integrated Policy Framework	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Market openness	18
CDEP	Integrated Policy Framework	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work			18
CDEP	Integrated Policy Framework	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Innovation	18
CDEP	Integrated Policy Framework	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Trust	18
CDEP	Integrated Policy Framework	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Use	18
CDEP	Integrated Policy Framework	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Access	18
CDEP	Integrated Policy Framework	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Society	18
CDEP	OECD Recommendation on policies for human-centered AI	Artificial intelligence	Privacy	Consumer protection	Competition																																							Trust	19
CDEP	Bridging the rural digital divide	Communication infrastructures and services	Development	Competition	Investment	Regional development																																						Access	20
CDEP	Bridging the rural digital divide	Communication infrastructures and services	Development	Competition	Financial markets	Regional development																																						Access	20
CDEP	The evolving role of satellite networks in rural and remote broadband access	Communication infrastructures and services	Development	Business models	Innovation	Regional development																																						Access	21
CDEP	The evolving role of satellite networks in rural and remote broadband access	Communication infrastructures and services	Development	Business models	Innovation	Regional development																																						Innovation	21
CDEP	Digital Economy Outlook 2017	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Trade	Transportation	Well-being	Work						Use	22
CDEP	Digital Economy Outlook 2017	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Trade	Transportation	Well-being	Work						Trust	22
CDEP	Digital Economy Outlook 2017	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Trade	Transportation	Well-being	Work						Innovation	22
CDEP	Digital Economy Outlook 2017	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Trade	Transportation	Well-being	Work						Access	22
CDEP	Digital Economy Outlook 2017	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Trade	Transportation	Well-being	Work						Society	22
CDEP	Digital Economy Outlook 2017	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Trade	Transportation	Well-being	Work						Market openness	22
CDEP	Online platforms: A practical approach to their benefits and policy challenges	Platforms	Competition	Consumer protection	Privacy	Data	Entrepreneurship																																					Trust	23
CDEP	Online platforms: A practical approach to their benefits and policy challenges	Platforms	Competition	Consumer protection	Privacy	Data	Entrepreneurship																																					Society	23
CDEP	Online platforms: A practical approach to their benefits and policy challenges	Platforms	Competition	Consumer protection	Privacy	Data	Entrepreneurship																																					Innovation	23
CDEP	Going Digital in a Multilateral World	Intangibles	Skills	Work	Productivity	Competition	Trade	Well-being	Measurement	Digital government																																		Market openness	24
CDEP	Going Digital in a Multilateral World	Intangibles	Skills	Work	Productivity	Competition	Trade	Well-being	Measurement	Digital government																																			24
CDEP	Going Digital in a Multilateral World	Intangibles	Skills	Work	Productivity	Competition	Trade	Well-being	Measurement	Digital government																																		Innovation	24
CDEP	Going Digital in a Multilateral World	Intangibles	Skills	Work	Productivity	Competition	Trade	Well-being	Measurement	Digital government																																		Trust	24
CDEP	Going Digital in a Multilateral World	Intangibles	Skills	Work	Productivity	Competition	Trade	Well-being	Measurement	Digital government																																		Use	24
CDEP	Going Digital in a Multilateral World	Intangibles	Skills	Work	Productivity	Competition	Trade	Well-being	Measurement	Digital government																																		Access	24
CDEP	Going Digital in a Multilateral World	Intangibles	Skills	Work	Productivity	Competition	Trade	Well-being	Measurement	Digital government																																		Society	24
CDEP	Going Digital Toolkit	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Market openness	25
CDEP	Going Digital Toolkit	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work			25
CDEP	Going Digital Toolkit	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Innovation	25
CDEP	Going Digital Toolkit	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Trust	25
CDEP	Going Digital Toolkit	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Use	25
CDEP	Going Digital Toolkit	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Access	25
CDEP	Going Digital Toolkit	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Society	25
CDEP	Improving policy design, implementation, evaluation and enforcement through the use of digital technologies	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Market openness	26
CDEP	Improving policy design, implementation, evaluation and enforcement through the use of digital technologies	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work			26
CDEP	Improving policy design, implementation, evaluation and enforcement through the use of digital technologies	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Innovation	26
CDEP	Improving policy design, implementation, evaluation and enforcement through the use of digital technologies	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Trust	26
CDEP	Improving policy design, implementation, evaluation and enforcement through the use of digital technologies	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Use	26
CDEP	Improving policy design, implementation, evaluation and enforcement through the use of digital technologies	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Access	26
CDEP	Improving policy design, implementation, evaluation and enforcement through the use of digital technologies	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Society	26
Other bodies	Improving policy design, implementation, evaluation and enforcement through the use of digital technologies	Agriculture	Artificial intelligence	Automation	Blockchain	Business models	Cloud	Communication infrastructures and services	Competition	Consumer protection	Data	Development	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets	Gender	Health	Innovation	Insurance	Intangibles	Internet of Things	Investment	Labour markets	Measurement	Pensions	Platforms	Privacy	Productivity		Regional development	Science & technology	Skills	SMEs	Taxation	Trade	Transportation	Well-being	Work		Market openness	26
